prompt_index,condition,prompt,target,prediction,correct,target_logit
7,random_ablation_0, yellow blue white green yellow blue white,green, red,0,13.490824699401855
7,random_ablation_1, yellow blue white green yellow blue white,green, green,1,13.840962409973145
7,random_ablation_2, yellow blue white green yellow blue white,green, green,1,14.02013874053955
7,random_ablation_3, yellow blue white green yellow blue white,green, green,1,13.508766174316406
7,random_ablation_4, yellow blue white green yellow blue white,green, green,1,13.879989624023438
8,full, black green blue yellow black green blue,yellow, yellow,1,14.251880645751953
8,induction_ablation, black green blue yellow black green blue,yellow, yellow,1,14.31789779663086
8,random_ablation_0, black green blue yellow black green blue,yellow, yellow,1,14.99693775177002
8,random_ablation_1, black green blue yellow black green blue,yellow, yellow,1,14.050020217895508
8,random_ablation_2, black green blue yellow black green blue,yellow, yellow,1,14.631006240844727
8,random_ablation_3, black green blue yellow black green blue,yellow, yellow,1,14.020058631896973
8,random_ablation_4, black green blue yellow black green blue,yellow, yellow,1,14.440750122070312
9,full, red white black yellow red white black,yellow, black,0,12.440382957458496
9,induction_ablation, red white black yellow red white black,yellow, red,0,13.056144714355469
9,random_ablation_0, red white black yellow red white black,yellow, black,0,12.237011909484863
9,random_ablation_1, red white black yellow red white black,yellow, black,0,12.322846412658691
9,random_ablation_2, red white black yellow red white black,yellow, red,0,12.681963920593262
9,random_ablation_3, red white black yellow red white black,yellow, black,0,11.854337692260742
9,random_ablation_4, red white black yellow red white black,yellow, black,0,12.489023208618164
10,full, red blue green black red blue green,black, blue,0,12.285589218139648
10,induction_ablation, red blue green black red blue green,black,"
",0,12.742249488830566
10,random_ablation_0, red blue green black red blue green,black, blue,0,12.518735885620117
10,random_ablation_1, red blue green black red blue green,black, blue,0,12.306294441223145
10,random_ablation_2, red blue green black red blue green,black, blue,0,12.612438201904297
10,random_ablation_3, red blue green black red blue green,black, blue,0,12.232414245605469
10,random_ablation_4, red blue green black red blue green,black, blue,0,12.496053695678711
11,full, red black white green red black white,green,"
",0,12.29965591430664
11,induction_ablation, red black white green red black white,green,"
",0,13.300004959106445
11,random_ablation_0, red black white green red black white,green, blue,0,11.66959285736084
11,random_ablation_1, red black white green red black white,green,"
",0,12.186920166015625
11,random_ablation_2, red black white green red black white,green,"
",0,12.48111343383789
11,random_ablation_3, red black white green red black white,green,"
",0,11.581954002380371
11,random_ablation_4, red black white green red black white,green, blue,0,12.449603080749512
12,full, white red black green white red black,green, black,0,13.406145095825195
12,induction_ablation, white red black green white red black,green, white,0,13.2137451171875
12,random_ablation_0, white red black green white red black,green, black,0,13.30507755279541
12,random_ablation_1, white red black green white red black,green, black,0,13.398109436035156
12,random_ablation_2, white red black green white red black,green, black,0,13.658527374267578
12,random_ablation_3, white red black green white red black,green, black,0,12.85855770111084
12,random_ablation_4, white red black green white red black,green, black,0,13.540804862976074
13,full, yellow green black white yellow green black,white, white,1,14.480960845947266
13,induction_ablation, yellow green black white yellow green black,white, white,1,14.466712951660156
13,random_ablation_0, yellow green black white yellow green black,white, white,1,14.53309440612793
13,random_ablation_1, yellow green black white yellow green black,white, white,1,14.470052719116211
13,random_ablation_2, yellow green black white yellow green black,white, white,1,14.874850273132324
13,random_ablation_3, yellow green black white yellow green black,white, white,1,14.045175552368164
13,random_ablation_4, yellow green black white yellow green black,white, white,1,14.597349166870117
14,full, white yellow blue red white yellow blue,red, red,1,14.336478233337402
14,induction_ablation, white yellow blue red white yellow blue,red, red,1,14.879616737365723
14,random_ablation_0, white yellow blue red white yellow blue,red, red,1,14.66071605682373
14,random_ablation_1, white yellow blue red white yellow blue,red, red,1,14.310644149780273
14,random_ablation_2, white yellow blue red white yellow blue,red, red,1,14.602097511291504
14,random_ablation_3, white yellow blue red white yellow blue,red, blue,0,13.749897956848145
14,random_ablation_4, white yellow blue red white yellow blue,red, red,1,14.391321182250977
15,full, red green white black red green white,black,"
",0,12.808167457580566
15,induction_ablation, red green white black red green white,black,"
",0,13.66604995727539
15,random_ablation_0, red green white black red green white,black,"
",0,13.089405059814453
15,random_ablation_1, red green white black red green white,black,"
",0,12.827980041503906
15,random_ablation_2, red green white black red green white,black, black,1,13.002549171447754
15,random_ablation_3, red green white black red green white,black,"
",0,12.382708549499512
15,random_ablation_4, red green white black red green white,black, black,1,13.070633888244629
16,full, green white blue black green white blue,black, black,1,13.959054946899414
16,induction_ablation, green white blue black green white blue,black, black,1,14.227385520935059
16,random_ablation_0, green white blue black green white blue,black, black,1,14.336935043334961
16,random_ablation_1, green white blue black green white blue,black, black,1,13.947032928466797
16,random_ablation_2, green white blue black green white blue,black, black,1,14.381473541259766
16,random_ablation_3, green white blue black green white blue,black, black,1,13.467884063720703
16,random_ablation_4, green white blue black green white blue,black, black,1,14.186796188354492
17,full, black red white blue black red white,blue, blue,1,13.984535217285156
17,induction_ablation, black red white blue black red white,blue, blue,1,14.180018424987793
17,random_ablation_0, black red white blue black red white,blue, blue,1,14.501570701599121
17,random_ablation_1, black red white blue black red white,blue, blue,1,13.860296249389648
17,random_ablation_2, black red white blue black red white,blue, blue,1,14.170618057250977
17,random_ablation_3, black red white blue black red white,blue, blue,1,13.621088027954102
17,random_ablation_4, black red white blue black red white,blue, blue,1,14.23221206665039
18,full, yellow green white red yellow green white,red, red,1,14.584619522094727
18,induction_ablation, yellow green white red yellow green white,red, red,1,14.940845489501953
18,random_ablation_0, yellow green white red yellow green white,red, red,1,14.728841781616211
18,random_ablation_1, yellow green white red yellow green white,red, red,1,14.600958824157715
18,random_ablation_2, yellow green white red yellow green white,red, red,1,14.88211441040039
18,random_ablation_3, yellow green white red yellow green white,red, red,1,14.078832626342773
18,random_ablation_4, yellow green white red yellow green white,red, red,1,14.76407527923584
19,full, yellow white red blue yellow white red,blue, blue,1,14.118511199951172
19,induction_ablation, yellow white red blue yellow white red,blue, blue,1,14.550426483154297
19,random_ablation_0, yellow white red blue yellow white red,blue, blue,1,14.76756477355957
19,random_ablation_1, yellow white red blue yellow white red,blue, blue,1,14.074892044067383
19,random_ablation_2, yellow white red blue yellow white red,blue, blue,1,14.33471393585205
19,random_ablation_3, yellow white red blue yellow white red,blue, blue,1,13.519343376159668
19,random_ablation_4, yellow white red blue yellow white red,blue, blue,1,14.351128578186035
20,full, blue red white green blue red white,green, red,0,13.745686531066895
20,induction_ablation, blue red white green blue red white,green, green,1,14.153810501098633
20,random_ablation_0, blue red white green blue red white,green, blue,0,13.10801887512207
20,random_ablation_1, blue red white green blue red white,green, green,1,13.762162208557129
20,random_ablation_2, blue red white green blue red white,green, red,0,13.94604206085205
20,random_ablation_3, blue red white green blue red white,green, blue,0,13.284502029418945
20,random_ablation_4, blue red white green blue red white,green, red,0,13.91901969909668
21,full, green red yellow blue green red yellow,blue, green,0,14.640795707702637
21,induction_ablation, green red yellow blue green red yellow,blue, blue,1,15.644218444824219
21,random_ablation_0, green red yellow blue green red yellow,blue, blue,1,14.861811637878418
21,random_ablation_1, green red yellow blue green red yellow,blue, green,0,14.641904830932617
21,random_ablation_2, green red yellow blue green red yellow,blue, blue,1,15.058298110961914
21,random_ablation_3, green red yellow blue green red yellow,blue, green,0,14.415557861328125
21,random_ablation_4, green red yellow blue green red yellow,blue, green,0,14.759814262390137
22,full, black red blue white black red blue,white, white,1,13.927489280700684
22,induction_ablation, black red blue white black red blue,white, white,1,14.713452339172363
22,random_ablation_0, black red blue white black red blue,white, white,1,13.922849655151367
22,random_ablation_1, black red blue white black red blue,white, white,1,13.84347915649414
22,random_ablation_2, black red blue white black red blue,white, white,1,14.286215782165527
22,random_ablation_3, black red blue white black red blue,white, white,1,12.997010231018066
22,random_ablation_4, black red blue white black red blue,white, white,1,14.10436725616455
23,full, red white blue green red white blue,green, blue,0,13.551888465881348
23,induction_ablation, red white blue green red white blue,green, red,0,14.276409149169922
23,random_ablation_0, red white blue green red white blue,green, blue,0,13.71056079864502
23,random_ablation_1, red white blue green red white blue,green, blue,0,13.63624382019043
23,random_ablation_2, red white blue green red white blue,green, blue,0,13.709493637084961
23,random_ablation_3, red white blue green red white blue,green, blue,0,13.200920104980469
23,random_ablation_4, red white blue green red white blue,green, blue,0,13.691073417663574
24,full, red green white black red green white,black,"
",0,12.808167457580566
24,induction_ablation, red green white black red green white,black,"
",0,13.66604995727539
24,random_ablation_0, red green white black red green white,black,"
",0,13.089405059814453
24,random_ablation_1, red green white black red green white,black,"
",0,12.827980041503906
24,random_ablation_2, red green white black red green white,black, black,1,13.002549171447754
24,random_ablation_3, red green white black red green white,black,"
",0,12.382708549499512
24,random_ablation_4, red green white black red green white,black, black,1,13.070633888244629
25,full, black yellow green white black yellow green,white, white,1,14.111352920532227
25,induction_ablation, black yellow green white black yellow green,white, white,1,14.294416427612305
25,random_ablation_0, black yellow green white black yellow green,white, white,1,14.442442893981934
25,random_ablation_1, black yellow green white black yellow green,white, white,1,14.064802169799805
25,random_ablation_2, black yellow green white black yellow green,white, white,1,14.668936729431152
25,random_ablation_3, black yellow green white black yellow green,white, white,1,13.636466026306152
25,random_ablation_4, black yellow green white black yellow green,white, white,1,14.246915817260742
26,full, yellow green white red yellow green white,red, red,1,14.584619522094727
26,induction_ablation, yellow green white red yellow green white,red, red,1,14.940845489501953
26,random_ablation_0, yellow green white red yellow green white,red, red,1,14.728841781616211
26,random_ablation_1, yellow green white red yellow green white,red, red,1,14.600958824157715
26,random_ablation_2, yellow green white red yellow green white,red, red,1,14.88211441040039
26,random_ablation_3, yellow green white red yellow green white,red, red,1,14.078832626342773
26,random_ablation_4, yellow green white red yellow green white,red, red,1,14.76407527923584
27,full, white red black green white red black,green, black,0,13.406145095825195
27,induction_ablation, white red black green white red black,green, white,0,13.2137451171875
27,random_ablation_0, white red black green white red black,green, black,0,13.30507755279541
27,random_ablation_1, white red black green white red black,green, black,0,13.398109436035156
27,random_ablation_2, white red black green white red black,green, black,0,13.658527374267578
27,random_ablation_3, white red black green white red black,green, black,0,12.85855770111084
27,random_ablation_4, white red black green white red black,green, black,0,13.540804862976074
28,full, blue yellow white green blue yellow white,green, green,1,13.793256759643555
28,induction_ablation, blue yellow white green blue yellow white,green, green,1,14.946664810180664
28,random_ablation_0, blue yellow white green blue yellow white,green, red,0,13.392366409301758
28,random_ablation_1, blue yellow white green blue yellow white,green, green,1,13.845640182495117
28,random_ablation_2, blue yellow white green blue yellow white,green, green,1,14.13857364654541
28,random_ablation_3, blue yellow white green blue yellow white,green, green,1,13.541976928710938
28,random_ablation_4, blue yellow white green blue yellow white,green, green,1,13.870477676391602
29,full, black yellow green white black yellow green,white, white,1,14.111352920532227
29,induction_ablation, black yellow green white black yellow green,white, white,1,14.294416427612305
29,random_ablation_0, black yellow green white black yellow green,white, white,1,14.442442893981934
29,random_ablation_1, black yellow green white black yellow green,white, white,1,14.064802169799805
29,random_ablation_2, black yellow green white black yellow green,white, white,1,14.668936729431152
29,random_ablation_3, black yellow green white black yellow green,white, white,1,13.636466026306152
29,random_ablation_4, black yellow green white black yellow green,white, white,1,14.246915817260742
30,full, black yellow green blue black yellow green,blue, blue,1,14.81968879699707
30,induction_ablation, black yellow green blue black yellow green,blue, blue,1,15.182061195373535
30,random_ablation_0, black yellow green blue black yellow green,blue, blue,1,15.209447860717773
30,random_ablation_1, black yellow green blue black yellow green,blue, blue,1,14.816351890563965
30,random_ablation_2, black yellow green blue black yellow green,blue, blue,1,15.396232604980469
30,random_ablation_3, black yellow green blue black yellow green,blue, blue,1,14.813377380371094
30,random_ablation_4, black yellow green blue black yellow green,blue, blue,1,14.920560836791992
31,full, green red blue white green red blue,white, blue,0,13.329548835754395
31,induction_ablation, green red blue white green red blue,white, white,1,14.241273880004883
31,random_ablation_0, green red blue white green red blue,white, blue,0,13.360966682434082
31,random_ablation_1, green red blue white green red blue,white, blue,0,13.329630851745605
31,random_ablation_2, green red blue white green red blue,white, blue,0,13.750879287719727
31,random_ablation_3, green red blue white green red blue,white, blue,0,12.540739059448242
31,random_ablation_4, green red blue white green red blue,white, blue,0,13.603392601013184
32,full, blue white red green blue white red,green, red,0,13.599065780639648
32,induction_ablation, blue white red green blue white red,green, red,0,13.820666313171387
32,random_ablation_0, blue white red green blue white red,green, red,0,13.54507827758789
32,random_ablation_1, blue white red green blue white red,green, red,0,13.645695686340332
32,random_ablation_2, blue white red green blue white red,green, red,0,13.83409309387207
32,random_ablation_3, blue white red green blue white red,green, red,0,12.939844131469727
32,random_ablation_4, blue white red green blue white red,green, red,0,13.825262069702148
33,full, blue green white yellow blue green white,yellow, yellow,1,14.066043853759766
33,induction_ablation, blue green white yellow blue green white,yellow, yellow,1,14.480267524719238
33,random_ablation_0, blue green white yellow blue green white,yellow, yellow,1,13.871476173400879
33,random_ablation_1, blue green white yellow blue green white,yellow, yellow,1,13.98011589050293
33,random_ablation_2, blue green white yellow blue green white,yellow, yellow,1,14.450557708740234
33,random_ablation_3, blue green white yellow blue green white,yellow, yellow,1,13.826713562011719
33,random_ablation_4, blue green white yellow blue green white,yellow, yellow,1,14.209761619567871
34,full, blue white yellow black blue white yellow,black, black,1,13.478410720825195
34,induction_ablation, blue white yellow black blue white yellow,black, black,1,14.17706298828125
34,random_ablation_0, blue white yellow black blue white yellow,black, black,1,13.471193313598633
34,random_ablation_1, blue white yellow black blue white yellow,black, black,1,13.470134735107422
34,random_ablation_2, blue white yellow black blue white yellow,black, black,1,13.788009643554688
34,random_ablation_3, blue white yellow black blue white yellow,black, black,1,12.84563159942627
34,random_ablation_4, blue white yellow black blue white yellow,black, black,1,13.553521156311035
35,full, blue red yellow green blue red yellow,green, green,1,14.095185279846191
35,induction_ablation, blue red yellow green blue red yellow,green, green,1,15.146669387817383
35,random_ablation_0, blue red yellow green blue red yellow,green, green,1,13.92182445526123
35,random_ablation_1, blue red yellow green blue red yellow,green, green,1,14.143003463745117
35,random_ablation_2, blue red yellow green blue red yellow,green, green,1,14.335293769836426
35,random_ablation_3, blue red yellow green blue red yellow,green, green,1,13.807536125183105
35,random_ablation_4, blue red yellow green blue red yellow,green, green,1,14.224106788635254
36,full, red white black yellow red white black,yellow, black,0,12.440382957458496
36,induction_ablation, red white black yellow red white black,yellow, red,0,13.056144714355469
36,random_ablation_0, red white black yellow red white black,yellow, black,0,12.237011909484863
36,random_ablation_1, red white black yellow red white black,yellow, black,0,12.322846412658691
36,random_ablation_2, red white black yellow red white black,yellow, red,0,12.681963920593262
36,random_ablation_3, red white black yellow red white black,yellow, black,0,11.854337692260742
36,random_ablation_4, red white black yellow red white black,yellow, black,0,12.489023208618164
37,full, black white red green black white red,green, green,1,13.169944763183594
37,induction_ablation, black white red green black white red,green, green,1,13.661487579345703
37,random_ablation_0, black white red green black white red,green, green,1,13.668938636779785
37,random_ablation_1, black white red green black white red,green, green,1,13.117818832397461
37,random_ablation_2, black white red green black white red,green, green,1,13.40196418762207
37,random_ablation_3, black white red green black white red,green, blue,0,12.55476188659668
37,random_ablation_4, black white red green black white red,green, green,1,13.433121681213379
38,full, green white blue red green white blue,red, red,1,14.280143737792969
38,induction_ablation, green white blue red green white blue,red, red,1,14.636978149414062
38,random_ablation_0, green white blue red green white blue,red, red,1,14.557517051696777
38,random_ablation_1, green white blue red green white blue,red, red,1,14.229837417602539
38,random_ablation_2, green white blue red green white blue,red, red,1,14.643126487731934
38,random_ablation_3, green white blue red green white blue,red, red,1,13.818811416625977
38,random_ablation_4, green white blue red green white blue,red, red,1,14.497186660766602
39,full, yellow white blue red yellow white blue,red, red,1,14.487287521362305
39,induction_ablation, yellow white blue red yellow white blue,red, red,1,14.751222610473633
39,random_ablation_0, yellow white blue red yellow white blue,red, red,1,14.767492294311523
39,random_ablation_1, yellow white blue red yellow white blue,red, red,1,14.426873207092285
39,random_ablation_2, yellow white blue red yellow white blue,red, red,1,14.655776977539062
39,random_ablation_3, yellow white blue red yellow white blue,red, red,1,13.860816955566406
39,random_ablation_4, yellow white blue red yellow white blue,red, red,1,14.60787582397461
40,full, red white blue black red white blue,black, black,1,13.467153549194336
40,induction_ablation, red white blue black red white blue,black, black,1,14.062017440795898
40,random_ablation_0, red white blue black red white blue,black, blue,0,13.968928337097168
40,random_ablation_1, red white blue black red white blue,black, black,1,13.490301132202148
40,random_ablation_2, red white blue black red white blue,black, black,1,13.613649368286133
40,random_ablation_3, red white blue black red white blue,black, blue,0,12.890515327453613
40,random_ablation_4, red white blue black red white blue,black, black,1,13.665937423706055
41,full, black white yellow red black white yellow,red, red,1,14.22107219696045
41,induction_ablation, black white yellow red black white yellow,red, red,1,15.191140174865723
41,random_ablation_0, black white yellow red black white yellow,red, red,1,14.40296459197998
41,random_ablation_1, black white yellow red black white yellow,red, red,1,14.221211433410645
41,random_ablation_2, black white yellow red black white yellow,red, red,1,14.462486267089844
41,random_ablation_3, black white yellow red black white yellow,red, red,1,13.434118270874023
41,random_ablation_4, black white yellow red black white yellow,red, red,1,14.33480453491211
42,full, yellow white red black yellow white red,black, black,1,14.144186973571777
42,induction_ablation, yellow white red black yellow white red,black, black,1,14.054655075073242
42,random_ablation_0, yellow white red black yellow white red,black, black,1,14.87368392944336
42,random_ablation_1, yellow white red black yellow white red,black, black,1,14.188837051391602
42,random_ablation_2, yellow white red black yellow white red,black, black,1,14.264508247375488
42,random_ablation_3, yellow white red black yellow white red,black, black,1,13.40942668914795
42,random_ablation_4, yellow white red black yellow white red,black, black,1,14.29184341430664
43,full, blue yellow red white blue yellow red,white, red,0,13.966358184814453
43,induction_ablation, blue yellow red white blue yellow red,white, white,1,14.680047988891602
43,random_ablation_0, blue yellow red white blue yellow red,white, white,1,14.598455429077148
43,random_ablation_1, blue yellow red white blue yellow red,white, red,0,14.012234687805176
43,random_ablation_2, blue yellow red white blue yellow red,white, white,1,14.2960205078125
43,random_ablation_3, blue yellow red white blue yellow red,white, red,0,13.005903244018555
43,random_ablation_4, blue yellow red white blue yellow red,white, red,0,14.124923706054688
44,full, green white blue black green white blue,black, black,1,13.959054946899414
44,induction_ablation, green white blue black green white blue,black, black,1,14.227385520935059
44,random_ablation_0, green white blue black green white blue,black, black,1,14.336935043334961
44,random_ablation_1, green white blue black green white blue,black, black,1,13.947032928466797
44,random_ablation_2, green white blue black green white blue,black, black,1,14.381473541259766
44,random_ablation_3, green white blue black green white blue,black, black,1,13.467884063720703
44,random_ablation_4, green white blue black green white blue,black, black,1,14.186796188354492
45,full, black blue white red black blue white,red, red,1,13.896636009216309
45,induction_ablation, black blue white red black blue white,red, red,1,14.358865737915039
45,random_ablation_0, black blue white red black blue white,red, red,1,14.102462768554688
45,random_ablation_1, black blue white red black blue white,red, red,1,13.892117500305176
45,random_ablation_2, black blue white red black blue white,red, red,1,14.044527053833008
45,random_ablation_3, black blue white red black blue white,red, red,1,13.239279747009277
45,random_ablation_4, black blue white red black blue white,red, red,1,14.082131385803223
46,full, blue red black white blue red black,white, white,1,14.36035442352295
46,induction_ablation, blue red black white blue red black,white, white,1,14.542381286621094
46,random_ablation_0, blue red black white blue red black,white, white,1,14.757843017578125
46,random_ablation_1, blue red black white blue red black,white, white,1,14.34653091430664
46,random_ablation_2, blue red black white blue red black,white, white,1,14.615767478942871
46,random_ablation_3, blue red black white blue red black,white, white,1,13.872393608093262
46,random_ablation_4, blue red black white blue red black,white, white,1,14.456239700317383
47,full, yellow green red blue yellow green red,blue, blue,1,14.089849472045898
47,induction_ablation, yellow green red blue yellow green red,blue, blue,1,14.668927192687988
47,random_ablation_0, yellow green red blue yellow green red,blue, blue,1,14.555689811706543
47,random_ablation_1, yellow green red blue yellow green red,blue, blue,1,14.089387893676758
47,random_ablation_2, yellow green red blue yellow green red,blue, blue,1,14.470781326293945
47,random_ablation_3, yellow green red blue yellow green red,blue, blue,1,13.663300514221191
47,random_ablation_4, yellow green red blue yellow green red,blue, blue,1,14.343673706054688
48,full, white green blue yellow white green blue,yellow, yellow,1,14.323650360107422
48,induction_ablation, white green blue yellow white green blue,yellow, yellow,1,14.369140625
48,random_ablation_0, white green blue yellow white green blue,yellow, yellow,1,14.996807098388672
48,random_ablation_1, white green blue yellow white green blue,yellow, yellow,1,14.148077011108398
48,random_ablation_2, white green blue yellow white green blue,yellow, yellow,1,14.695211410522461
48,random_ablation_3, white green blue yellow white green blue,yellow, yellow,1,14.230925559997559
48,random_ablation_4, white green blue yellow white green blue,yellow, yellow,1,14.494901657104492
49,full, blue red white yellow blue red white,yellow, yellow,1,13.874421119689941
49,induction_ablation, blue red white yellow blue red white,yellow, yellow,1,14.247293472290039
49,random_ablation_0, blue red white yellow blue red white,yellow, blue,0,13.734655380249023
49,random_ablation_1, blue red white yellow blue red white,yellow, yellow,1,13.732641220092773
49,random_ablation_2, blue red white yellow blue red white,yellow, yellow,1,14.055683135986328
49,random_ablation_3, blue red white yellow blue red white,yellow, yellow,1,13.350737571716309
49,random_ablation_4, blue red white yellow blue red white,yellow, yellow,1,13.966394424438477
50,full, white blue green yellow white blue green,yellow, yellow,1,14.334717750549316
50,induction_ablation, white blue green yellow white blue green,yellow, yellow,1,14.171642303466797
50,random_ablation_0, white blue green yellow white blue green,yellow, yellow,1,14.40664005279541
50,random_ablation_1, white blue green yellow white blue green,yellow, yellow,1,14.178308486938477
50,random_ablation_2, white blue green yellow white blue green,yellow, yellow,1,14.726808547973633
50,random_ablation_3, white blue green yellow white blue green,yellow, yellow,1,14.245567321777344
50,random_ablation_4, white blue green yellow white blue green,yellow, yellow,1,14.476499557495117
51,full, white yellow green black white yellow green,black, black,1,14.510125160217285
51,induction_ablation, white yellow green black white yellow green,black, black,1,14.887676239013672
51,random_ablation_0, white yellow green black white yellow green,black, black,1,14.787162780761719
51,random_ablation_1, white yellow green black white yellow green,black, black,1,14.53514289855957
51,random_ablation_2, white yellow green black white yellow green,black, black,1,14.868123054504395
51,random_ablation_3, white yellow green black white yellow green,black, black,1,14.16784954071045
51,random_ablation_4, white yellow green black white yellow green,black, black,1,14.593255996704102
52,full, yellow white green black yellow white green,black, black,1,14.277901649475098
52,induction_ablation, yellow white green black yellow white green,black, black,1,14.357765197753906
52,random_ablation_0, yellow white green black yellow white green,black, black,1,14.398674011230469
52,random_ablation_1, yellow white green black yellow white green,black, black,1,14.316156387329102
52,random_ablation_2, yellow white green black yellow white green,black, black,1,14.615543365478516
52,random_ablation_3, yellow white green black yellow white green,black, black,1,13.802438735961914
52,random_ablation_4, yellow white green black yellow white green,black, black,1,14.427490234375
53,full, black yellow white green black yellow white,green, green,1,13.382927894592285
53,induction_ablation, black yellow white green black yellow white,green, green,1,14.132275581359863
53,random_ablation_0, black yellow white green black yellow white,green, green,1,13.391529083251953
53,random_ablation_1, black yellow white green black yellow white,green, green,1,13.31855583190918
53,random_ablation_2, black yellow white green black yellow white,green, green,1,13.896376609802246
53,random_ablation_3, black yellow white green black yellow white,green, green,1,13.04426097869873
53,random_ablation_4, black yellow white green black yellow white,green, green,1,13.473368644714355
54,full, yellow black red white yellow black red,white, white,1,14.682685852050781
54,induction_ablation, yellow black red white yellow black red,white, white,1,14.505249977111816
54,random_ablation_0, yellow black red white yellow black red,white, white,1,15.503643035888672
54,random_ablation_1, yellow black red white yellow black red,white, white,1,14.635080337524414
54,random_ablation_2, yellow black red white yellow black red,white, white,1,14.863907814025879
54,random_ablation_3, yellow black red white yellow black red,white, white,1,13.846952438354492
54,random_ablation_4, yellow black red white yellow black red,white, white,1,14.775627136230469
55,full, black blue red green black blue red,green, green,1,13.189163208007812
55,induction_ablation, black blue red green black blue red,green, green,1,13.405351638793945
55,random_ablation_0, black blue red green black blue red,green, green,1,13.859567642211914
55,random_ablation_1, black blue red green black blue red,green, green,1,13.100489616394043
55,random_ablation_2, black blue red green black blue red,green, green,1,13.537506103515625
55,random_ablation_3, black blue red green black blue red,green, green,1,12.631690979003906
55,random_ablation_4, black blue red green black blue red,green, green,1,13.420347213745117
56,full, red white blue black red white blue,black, black,1,13.467153549194336
56,induction_ablation, red white blue black red white blue,black, black,1,14.062017440795898
56,random_ablation_0, red white blue black red white blue,black, blue,0,13.968928337097168
56,random_ablation_1, red white blue black red white blue,black, black,1,13.490301132202148
56,random_ablation_2, red white blue black red white blue,black, black,1,13.613649368286133
56,random_ablation_3, red white blue black red white blue,black, blue,0,12.890515327453613
